,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,Arizona,AZ,Apache,Democrat,Hillary Clinton,0.664,13.5,19.0,74.5,50.6,31476,6.4
1,1,Arizona,AZ,Apache,Democrat,Bernie Sanders,0.28800000000000003,13.5,19.0,74.5,50.6,31476,6.4
2,2,Arizona,AZ,Cochise,Democrat,Hillary Clinton,0.565,19.9,56.1,85.8,49.2,45755,21.3
3,3,Arizona,AZ,Cochise,Democrat,Bernie Sanders,0.397,19.9,56.1,85.8,49.2,45755,21.3
4,4,Arizona,AZ,Coconino,Democrat,Bernie Sanders,0.534,11.1,54.9,87.6,50.6,49555,7.2
5,5,Arizona,AZ,Coconino,Democrat,Hillary Clinton,0.441,11.1,54.9,87.6,50.6,49555,7.2
6,6,Arizona,AZ,Gila,Democrat,Hillary Clinton,0.5920000000000001,26.6,63.2,84.3,50.4,39954,11.3
7,7,Arizona,AZ,Gila,Democrat,Bernie Sanders,0.35200000000000004,26.6,63.2,84.3,50.4,39954,11.3
8,8,Arizona,AZ,Graham,Democrat,Hillary Clinton,0.491,12.3,51.4,84.4,46.5,44943,8.1
9,9,Arizona,AZ,Graham,Democrat,Bernie Sanders,0.446,12.3,51.4,84.4,46.5,44943,8.1
10,10,Arizona,AZ,Greenlee,Democrat,Hillary Clinton,0.546,11.6,47.8,84.3,47.7,47992,4.6
11,11,Arizona,AZ,Greenlee,Democrat,Bernie Sanders,0.35700000000000004,11.6,47.8,84.3,47.7,47992,4.6
12,12,Arizona,AZ,Maricopa,Democrat,Hillary Clinton,0.581,13.8,57.0,86.4,50.6,53596,414.9
13,13,Arizona,AZ,Maricopa,Democrat,Bernie Sanders,0.39799999999999996,13.8,57.0,86.4,50.6,53596,414.9
14,14,Arizona,AZ,Mohave,Democrat,Hillary Clinton,0.564,26.9,78.0,83.8,49.7,39200,15.0
15,15,Arizona,AZ,Mohave,Democrat,Bernie Sanders,0.385,26.9,78.0,83.8,49.7,39200,15.0
16,16,Arizona,AZ,Navajo,Democrat,Hillary Clinton,0.597,15.8,42.2,80.6,49.8,36927,10.8
17,17,Arizona,AZ,Navajo,Democrat,Bernie Sanders,0.354,15.8,42.2,80.6,49.8,36927,10.8
18,18,Arizona,AZ,Pima,Democrat,Hillary Clinton,0.573,17.7,53.3,87.2,50.8,45841,106.7
19,19,Arizona,AZ,Pima,Democrat,Bernie Sanders,0.409,17.7,53.3,87.2,50.8,45841,106.7
20,20,Arizona,AZ,Pinal,Democrat,Hillary Clinton,0.621,18.0,57.9,84.7,47.8,50027,70.0
21,21,Arizona,AZ,Pinal,Democrat,Bernie Sanders,0.344,18.0,57.9,84.7,47.8,50027,70.0
22,22,Arizona,AZ,Yavapai,Democrat,Hillary Clinton,0.529,28.1,80.9,90.2,51.1,42987,26.0
23,23,Arizona,AZ,Yavapai,Democrat,Bernie Sanders,0.447,28.1,80.9,90.2,51.1,42987,26.0
24,24,Arizona,AZ,Yuma,Democrat,Hillary Clinton,0.637,17.4,32.9,71.9,48.8,41595,35.5
25,25,Arizona,AZ,Yuma,Democrat,Bernie Sanders,0.315,17.4,32.9,71.9,48.8,41595,35.5
