,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,Colorado,CO,Adams,Democrat,Bernie Sanders,0.61,9.6,51.9,81.4,49.6,56270,378.2
1,1,Colorado,CO,Adams,Democrat,Hillary Clinton,0.38299999999999995,9.6,51.9,81.4,49.6,56270,378.2
2,2,Colorado,CO,Alamosa,Democrat,Bernie Sanders,0.63,12.6,49.5,84.7,49.6,34520,21.4
3,3,Colorado,CO,Alamosa,Democrat,Hillary Clinton,0.34,12.6,49.5,84.7,49.6,34520,21.4
4,4,Colorado,CO,Arapahoe,Democrat,Bernie Sanders,0.53,11.9,62.1,91.4,50.7,60651,716.7
5,5,Colorado,CO,Arapahoe,Democrat,Hillary Clinton,0.46299999999999997,11.9,62.1,91.4,50.7,60651,716.7
6,6,Colorado,CO,Archuleta,Democrat,Bernie Sanders,0.642,22.9,76.9,91.7,49.9,48933,8.9
7,7,Colorado,CO,Archuleta,Democrat,Hillary Clinton,0.342,22.9,76.9,91.7,49.9,48933,8.9
8,8,Colorado,CO,Baca,Democrat,Hillary Clinton,0.319,25.7,85.5,87.3,50.1,38829,1.5
9,9,Colorado,CO,Baca,Democrat,Bernie Sanders,0.298,25.7,85.5,87.3,50.1,38829,1.5
10,10,Colorado,CO,Bent,Democrat,Hillary Clinton,0.48100000000000004,16.9,58.0,79.4,35.6,37340,4.3
11,11,Colorado,CO,Bent,Democrat,Bernie Sanders,0.444,16.9,58.0,79.4,35.6,37340,4.3
12,12,Colorado,CO,Boulder,Democrat,Bernie Sanders,0.636,12.2,78.3,93.9,49.8,67956,405.6
13,13,Colorado,CO,Boulder,Democrat,Hillary Clinton,0.363,12.2,78.3,93.9,49.8,67956,405.6
14,14,Colorado,CO,Broomfield,Democrat,Bernie Sanders,0.632,12.2,78.0,94.9,50.4,77998,1691.9
15,15,Colorado,CO,Broomfield,Democrat,Hillary Clinton,0.35200000000000004,12.2,78.0,94.9,50.4,77998,1691.9
16,16,Colorado,CO,Chaffee,Democrat,Bernie Sanders,0.652,23.0,85.4,91.1,47.2,46504,17.6
17,17,Colorado,CO,Chaffee,Democrat,Hillary Clinton,0.33899999999999997,23.0,85.4,91.1,47.2,46504,17.6
18,18,Colorado,CO,Cheyenne,Democrat,Hillary Clinton,0.5,18.2,84.3,87.0,48.5,51641,1.0
19,19,Colorado,CO,Cheyenne,Democrat,Bernie Sanders,0.4,18.2,84.3,87.0,48.5,51641,1.0
20,20,Colorado,CO,Conejos,Democrat,Hillary Clinton,0.584,17.4,43.5,82.6,50.2,34526,6.4
21,21,Colorado,CO,Conejos,Democrat,Bernie Sanders,0.4,17.4,43.5,82.6,50.2,34526,6.4
22,22,Colorado,CO,Costilla,Democrat,Hillary Clinton,0.5660000000000001,25.8,32.0,76.5,47.6,29145,2.9
23,23,Colorado,CO,Costilla,Democrat,Bernie Sanders,0.204,25.8,32.0,76.5,47.6,29145,2.9
24,24,Colorado,CO,Crowley,Democrat,Bernie Sanders,0.5,13.0,56.4,75.2,30.2,31477,7.4
25,25,Colorado,CO,Crowley,Democrat,Hillary Clinton,0.469,13.0,56.4,75.2,30.2,31477,7.4
26,26,Colorado,CO,Custer,Democrat,Bernie Sanders,0.57,29.0,91.2,94.6,49.1,32427,5.8
27,27,Colorado,CO,Custer,Democrat,Hillary Clinton,0.43,29.0,91.2,94.6,49.1,32427,5.8
28,28,Colorado,CO,Delta,Democrat,Bernie Sanders,0.696,23.5,82.2,87.8,50.1,42078,27.1
29,29,Colorado,CO,Delta,Democrat,Hillary Clinton,0.295,23.5,82.2,87.8,50.1,42078,27.1
30,30,Colorado,CO,Denver,Democrat,Bernie Sanders,0.544,10.9,53.4,85.4,50.0,50313,3922.6
31,31,Colorado,CO,Denver,Democrat,Hillary Clinton,0.45,10.9,53.4,85.4,50.0,50313,3922.6
32,32,Colorado,CO,Dolores,Democrat,Bernie Sanders,0.629,22.0,88.6,88.8,48.0,37750,1.9
33,33,Colorado,CO,Dolores,Democrat,Hillary Clinton,0.22899999999999998,22.0,88.6,88.8,48.0,37750,1.9
34,34,Colorado,CO,Douglas,Democrat,Bernie Sanders,0.49700000000000005,9.9,83.9,97.5,50.3,101591,339.7
35,35,Colorado,CO,Douglas,Democrat,Hillary Clinton,0.496,9.9,83.9,97.5,50.3,101591,339.7
36,36,Colorado,CO,Eagle,Democrat,Bernie Sanders,0.637,8.1,67.1,88.7,47.0,74456,31.0
37,37,Colorado,CO,Eagle,Democrat,Hillary Clinton,0.35200000000000004,8.1,67.1,88.7,47.0,74456,31.0
38,38,Colorado,CO,Elbert,Democrat,Bernie Sanders,0.613,13.9,89.7,96.6,49.8,82118,12.5
39,39,Colorado,CO,Elbert,Democrat,Hillary Clinton,0.379,13.9,89.7,96.6,49.8,82118,12.5
40,40,Colorado,CO,Fremont,Democrat,Bernie Sanders,0.5710000000000001,20.3,79.4,84.1,42.3,39943,30.5
41,41,Colorado,CO,Fremont,Democrat,Hillary Clinton,0.41200000000000003,20.3,79.4,84.1,42.3,39943,30.5
42,42,Colorado,CO,Garfield,Democrat,Bernie Sanders,0.615,10.7,68.8,85.2,48.9,57022,19.1
43,43,Colorado,CO,Garfield,Democrat,Hillary Clinton,0.368,10.7,68.8,85.2,48.9,57022,19.1
44,44,Colorado,CO,Gilpin,Democrat,Bernie Sanders,0.698,13.2,87.4,94.4,47.3,63885,36.3
45,45,Colorado,CO,Gilpin,Democrat,Hillary Clinton,0.298,13.2,87.4,94.4,47.3,63885,36.3
46,46,Colorado,CO,Grand,Democrat,Bernie Sanders,0.638,13.9,88.8,94.4,47.0,64664,8.0
47,47,Colorado,CO,Grand,Democrat,Hillary Clinton,0.321,13.9,88.8,94.4,47.0,64664,8.0
48,48,Colorado,CO,Gunnison,Democrat,Bernie Sanders,0.763,11.2,87.5,93.3,45.9,52332,4.7
49,49,Colorado,CO,Gunnison,Democrat,Hillary Clinton,0.22399999999999998,11.2,87.5,93.3,45.9,52332,4.7
50,50,Colorado,CO,Hinsdale,Democrat,Bernie Sanders,0.7140000000000001,25.7,92.6,93.8,48.2,56667,0.8
51,51,Colorado,CO,Hinsdale,Democrat,Hillary Clinton,0.214,25.7,92.6,93.8,48.2,56667,0.8
52,52,Colorado,CO,Huerfano,Democrat,Bernie Sanders,0.584,29.7,61.7,84.7,49.6,33298,4.2
53,53,Colorado,CO,Huerfano,Democrat,Hillary Clinton,0.36200000000000004,29.7,61.7,84.7,49.6,33298,4.2
54,54,Colorado,CO,Jackson,Democrat,Hillary Clinton,0.556,20.9,86.3,88.7,46.7,43606,0.9
55,55,Colorado,CO,Jackson,Democrat,Bernie Sanders,0.444,20.9,86.3,88.7,46.7,43606,0.9
56,56,Colorado,CO,Jefferson,Democrat,Bernie Sanders,0.598,14.7,78.8,93.7,50.3,68984,699.5
57,57,Colorado,CO,Jefferson,Democrat,Hillary Clinton,0.396,14.7,78.8,93.7,50.3,68984,699.5
58,58,Colorado,CO,Kiowa,Democrat,Hillary Clinton,0.455,24.1,91.4,92.2,50.8,40813,0.8
59,59,Colorado,CO,Kiowa,Democrat,Bernie Sanders,0.182,24.1,91.4,92.2,50.8,40813,0.8
60,60,Colorado,CO,Lake,Democrat,Bernie Sanders,0.73,11.0,59.2,86.8,46.7,44610,19.4
61,61,Colorado,CO,Lake,Democrat,Hillary Clinton,0.235,11.0,59.2,86.8,46.7,44610,19.4
62,62,Colorado,CO,Larimer,Democrat,Bernie Sanders,0.672,13.9,83.5,94.4,50.2,58626,115.4
63,63,Colorado,CO,Larimer,Democrat,Hillary Clinton,0.326,13.9,83.5,94.4,50.2,58626,115.4
64,64,Colorado,CO,Lincoln,Democrat,Hillary Clinton,0.47600000000000003,17.4,78.4,81.5,40.9,41910,2.1
65,65,Colorado,CO,Lincoln,Democrat,Bernie Sanders,0.33299999999999996,17.4,78.4,81.5,40.9,41910,2.1
66,66,Colorado,CO,Logan,Democrat,Hillary Clinton,0.513,15.7,76.9,88.7,43.5,40415,12.4
67,67,Colorado,CO,Logan,Democrat,Bernie Sanders,0.467,15.7,76.9,88.7,43.5,40415,12.4
68,68,Colorado,CO,Mesa,Democrat,Bernie Sanders,0.573,16.9,82.0,89.6,50.3,49471,44.1
69,69,Colorado,CO,Mesa,Democrat,Hillary Clinton,0.414,16.9,82.0,89.6,50.3,49471,44.1
70,70,Colorado,CO,Mineral,Democrat,Bernie Sanders,0.595,26.5,92.8,96.5,47.6,47083,0.8
71,71,Colorado,CO,Mineral,Democrat,Hillary Clinton,0.381,26.5,92.8,96.5,47.6,47083,0.8
72,72,Colorado,CO,Moffat,Democrat,Bernie Sanders,0.56,12.9,82.2,89.2,48.1,53231,2.9
73,73,Colorado,CO,Moffat,Democrat,Hillary Clinton,0.42,12.9,82.2,89.2,48.1,53231,2.9
74,74,Colorado,CO,Montezuma,Democrat,Bernie Sanders,0.6729999999999999,19.1,73.2,89.9,50.3,43188,12.6
75,75,Colorado,CO,Montezuma,Democrat,Hillary Clinton,0.324,19.1,73.2,89.9,50.3,43188,12.6
76,76,Colorado,CO,Montrose,Democrat,Bernie Sanders,0.5489999999999999,21.3,76.5,85.7,50.8,45718,18.4
77,77,Colorado,CO,Montrose,Democrat,Hillary Clinton,0.447,21.3,76.5,85.7,50.8,45718,18.4
78,78,Colorado,CO,Morgan,Democrat,Bernie Sanders,0.5539999999999999,15.4,60.1,78.8,50.2,43774,22.0
79,79,Colorado,CO,Morgan,Democrat,Hillary Clinton,0.446,15.4,60.1,78.8,50.2,43774,22.0
80,80,Colorado,CO,Otero,Democrat,Bernie Sanders,0.5429999999999999,19.0,55.4,83.0,50.4,33848,14.9
81,81,Colorado,CO,Otero,Democrat,Hillary Clinton,0.451,19.0,55.4,83.0,50.4,33848,14.9
82,82,Colorado,CO,Ouray,Democrat,Bernie Sanders,0.645,24.6,91.9,98.4,50.9,64601,8.2
83,83,Colorado,CO,Ouray,Democrat,Hillary Clinton,0.355,24.6,91.9,98.4,50.9,64601,8.2
84,84,Colorado,CO,Park,Democrat,Bernie Sanders,0.662,16.2,89.5,95.6,47.3,61570,7.4
85,85,Colorado,CO,Park,Democrat,Hillary Clinton,0.33799999999999997,16.2,89.5,95.6,47.3,61570,7.4
86,86,Colorado,CO,Phillips,Democrat,Bernie Sanders,0.563,20.8,76.6,85.6,50.4,43011,6.5
87,87,Colorado,CO,Phillips,Democrat,Hillary Clinton,0.344,20.8,76.6,85.6,50.4,43011,6.5
88,88,Colorado,CO,Pitkin,Democrat,Bernie Sanders,0.547,15.6,86.5,96.0,47.6,72745,17.7
89,89,Colorado,CO,Pitkin,Democrat,Hillary Clinton,0.45299999999999996,15.6,86.5,96.0,47.6,72745,17.7
