,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,Idaho,ID,Ada,Democrat,Bernie Sanders,0.805,12.6,85.5,93.6,49.9,55210,372.8
1,1,Idaho,ID,Ada,Democrat,Hillary Clinton,0.182,12.6,85.5,93.6,49.9,55210,372.8
2,2,Idaho,ID,Adams,Democrat,Bernie Sanders,0.696,24.9,93.6,92.8,48.5,35434,2.9
3,3,Idaho,ID,Adams,Democrat,Hillary Clinton,0.275,24.9,93.6,92.8,48.5,35434,2.9
4,4,Idaho,ID,Bannock,Democrat,Bernie Sanders,0.797,12.8,85.0,91.8,50.2,43534,74.5
5,5,Idaho,ID,Bannock,Democrat,Hillary Clinton,0.2,12.8,85.0,91.8,50.2,43534,74.5
6,6,Idaho,ID,Benewah,Democrat,Bernie Sanders,0.69,21.2,84.5,87.4,49.5,39049,12.0
7,7,Idaho,ID,Benewah,Democrat,Hillary Clinton,0.282,21.2,84.5,87.4,49.5,39049,12.0
8,8,Idaho,ID,Bingham,Democrat,Bernie Sanders,0.764,12.9,74.4,84.6,49.8,47941,21.8
9,9,Idaho,ID,Bingham,Democrat,Hillary Clinton,0.23199999999999998,12.9,74.4,84.6,49.8,47941,21.8
10,10,Idaho,ID,Blaine,Democrat,Bernie Sanders,0.6829999999999999,15.8,76.9,90.6,49.2,64042,8.1
11,11,Idaho,ID,Blaine,Democrat,Hillary Clinton,0.316,15.8,76.9,90.6,49.2,64042,8.1
12,12,Idaho,ID,Boise,Democrat,Bernie Sanders,0.679,21.3,92.3,89.2,48.4,41056,3.7
13,13,Idaho,ID,Boise,Democrat,Hillary Clinton,0.321,21.3,92.3,89.2,48.4,41056,3.7
14,14,Idaho,ID,Bonner,Democrat,Bernie Sanders,0.7929999999999999,21.4,93.4,90.7,50.0,41414,23.6
15,15,Idaho,ID,Bonner,Democrat,Hillary Clinton,0.205,21.4,93.4,90.7,50.0,41414,23.6
