,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,Illinois,IL,Adams,Democrat,Hillary Clinton,0.507,18.7,92.4,89.7,51.1,45073,78.5
1,1,Illinois,IL,Adams,Democrat,Bernie Sanders,0.47200000000000003,18.7,92.4,89.7,51.1,45073,78.5
2,2,Illinois,IL,Alexander,Democrat,Hillary Clinton,0.6,18.2,58.8,74.6,49.7,26972,35.0
3,3,Illinois,IL,Alexander,Democrat,Bernie Sanders,0.33799999999999997,18.2,58.8,74.6,49.7,26972,35.0
4,4,Illinois,IL,Bond,Democrat,Bernie Sanders,0.534,16.5,87.8,86.3,47.3,48163,46.7
5,5,Illinois,IL,Bond,Democrat,Hillary Clinton,0.447,16.5,87.8,86.3,47.3,48163,46.7
6,6,Illinois,IL,Boone,Democrat,Bernie Sanders,0.583,14.0,74.4,85.8,50.2,60893,193.0
7,7,Illinois,IL,Boone,Democrat,Hillary Clinton,0.41100000000000003,14.0,74.4,85.8,50.2,60893,193.0
8,8,Illinois,IL,Brown,Democrat,Hillary Clinton,0.49200000000000005,13.0,74.0,81.5,35.6,42194,22.7
9,9,Illinois,IL,Brown,Democrat,Bernie Sanders,0.48,13.0,74.0,81.5,35.6,42194,22.7
10,10,Illinois,IL,Bureau,Democrat,Bernie Sanders,0.542,19.9,88.7,89.2,51.0,48977,40.2
11,11,Illinois,IL,Bureau,Democrat,Hillary Clinton,0.445,19.9,88.7,89.2,51.0,48977,40.2
12,12,Illinois,IL,Calhoun,Democrat,Bernie Sanders,0.507,22.8,97.7,89.0,49.9,50436,20.0
13,13,Illinois,IL,Calhoun,Democrat,Hillary Clinton,0.45,22.8,97.7,89.0,49.9,50436,20.0
14,14,Illinois,IL,Carroll,Democrat,Bernie Sanders,0.5,23.6,93.6,88.9,50.0,47985,34.6
15,15,Illinois,IL,Carroll,Democrat,Hillary Clinton,0.488,23.6,93.6,88.9,50.0,47985,34.6
16,16,Illinois,IL,Cass,Democrat,Bernie Sanders,0.502,16.4,76.5,86.0,49.3,45734,36.3
17,17,Illinois,IL,Cass,Democrat,Hillary Clinton,0.469,16.4,76.5,86.0,49.3,45734,36.3
18,18,Illinois,IL,Champaign,Democrat,Bernie Sanders,0.659,11.1,69.1,93.6,50.1,45808,201.8
19,19,Illinois,IL,Champaign,Democrat,Hillary Clinton,0.33799999999999997,11.1,69.1,93.6,50.1,45808,201.8
20,20,Illinois,IL,Christian,Democrat,Bernie Sanders,0.512,18.6,95.1,88.2,49.1,45145,49.1
21,21,Illinois,IL,Christian,Democrat,Hillary Clinton,0.46799999999999997,18.6,95.1,88.2,49.1,45145,49.1
22,22,Illinois,IL,Clark,Democrat,Bernie Sanders,0.53,18.7,96.8,89.5,50.8,47405,32.6
23,23,Illinois,IL,Clark,Democrat,Hillary Clinton,0.447,18.7,96.8,89.5,50.8,47405,32.6
24,24,Illinois,IL,Clay,Democrat,Bernie Sanders,0.521,18.8,96.3,87.7,50.7,40640,29.5
25,25,Illinois,IL,Clay,Democrat,Hillary Clinton,0.449,18.8,96.3,87.7,50.7,40640,29.5
26,26,Illinois,IL,Clinton,Democrat,Bernie Sanders,0.575,16.0,91.6,88.7,48.2,61720,79.7
27,27,Illinois,IL,Clinton,Democrat,Hillary Clinton,0.41200000000000003,16.0,91.6,88.7,48.2,61720,79.7
28,28,Illinois,IL,Coles,Democrat,Bernie Sanders,0.59,15.0,91.1,90.0,51.7,37040,106.0
29,29,Illinois,IL,Coles,Democrat,Hillary Clinton,0.39899999999999997,15.0,91.1,90.0,51.7,37040,106.0
30,30,Illinois,IL,Crawford,Democrat,Hillary Clinton,0.501,18.3,91.3,89.2,48.4,46216,44.7
31,31,Illinois,IL,Crawford,Democrat,Bernie Sanders,0.479,18.3,91.3,89.2,48.4,46216,44.7
32,32,Illinois,IL,Cumberland,Democrat,Bernie Sanders,0.563,17.6,96.7,88.8,49.9,43958,31.9
33,33,Illinois,IL,Cumberland,Democrat,Hillary Clinton,0.396,17.6,96.7,88.8,49.9,43958,31.9
34,34,Illinois,IL,Douglas,Democrat,Bernie Sanders,0.562,16.3,90.4,83.8,50.4,52741,48.0
35,35,Illinois,IL,Douglas,Democrat,Hillary Clinton,0.42200000000000004,16.3,90.4,83.8,50.4,52741,48.0
36,36,Illinois,IL,Edgar,Democrat,Bernie Sanders,0.49700000000000005,20.4,97.3,86.0,51.5,42133,29.8
37,37,Illinois,IL,Edgar,Democrat,Hillary Clinton,0.474,20.4,97.3,86.0,51.5,42133,29.8
38,38,Illinois,IL,Edwards,Democrat,Bernie Sanders,0.498,19.2,96.9,86.8,51.1,39075,30.2
39,39,Illinois,IL,Edwards,Democrat,Hillary Clinton,0.48100000000000004,19.2,96.9,86.8,51.1,39075,30.2
40,40,Illinois,IL,Effingham,Democrat,Bernie Sanders,0.58,16.8,96.4,90.9,50.2,52108,71.5
41,41,Illinois,IL,Effingham,Democrat,Hillary Clinton,0.40299999999999997,16.8,96.4,90.9,50.2,52108,71.5
42,42,Illinois,IL,Fayette,Democrat,Bernie Sanders,0.499,17.1,92.2,84.2,46.9,44722,30.9
