,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,Kentucky,KY,Adair,Republican,Donald Trump,0.578,16.4,93.5,73.7,50.6,32524,46.0
1,1,Kentucky,KY,Adair,Republican,Ted Cruz,0.24100000000000002,16.4,93.5,73.7,50.6,32524,46.0
2,2,Kentucky,KY,Adair,Republican,Marco Rubio,0.094,16.4,93.5,73.7,50.6,32524,46.0
3,3,Kentucky,KY,Adair,Republican,John Kasich,0.073,16.4,93.5,73.7,50.6,32524,46.0
4,4,Kentucky,KY,Allen,Republican,Donald Trump,0.424,16.1,95.4,76.4,50.6,40008,58.0
5,5,Kentucky,KY,Allen,Republican,Ted Cruz,0.34700000000000003,16.1,95.4,76.4,50.6,40008,58.0
6,6,Kentucky,KY,Allen,Republican,Marco Rubio,0.107,16.1,95.4,76.4,50.6,40008,58.0
7,7,Kentucky,KY,Allen,Republican,John Kasich,0.092,16.1,95.4,76.4,50.6,40008,58.0
8,8,Kentucky,KY,Anderson,Republican,Ted Cruz,0.35200000000000004,14.2,94.2,87.2,51.1,52646,106.1
9,9,Kentucky,KY,Anderson,Republican,Donald Trump,0.33299999999999996,14.2,94.2,87.2,51.1,52646,106.1
10,10,Kentucky,KY,Anderson,Republican,Marco Rubio,0.153,14.2,94.2,87.2,51.1,52646,106.1
11,11,Kentucky,KY,Anderson,Republican,John Kasich,0.121,14.2,94.2,87.2,51.1,52646,106.1
12,12,Kentucky,KY,Ballard,Republican,Ted Cruz,0.514,19.5,93.2,84.4,50.7,44588,33.4
13,13,Kentucky,KY,Ballard,Republican,Donald Trump,0.295,19.5,93.2,84.4,50.7,44588,33.4
14,14,Kentucky,KY,Ballard,Republican,Marco Rubio,0.091,19.5,93.2,84.4,50.7,44588,33.4
15,15,Kentucky,KY,Ballard,Republican,John Kasich,0.078,19.5,93.2,84.4,50.7,44588,33.4
16,16,Kentucky,KY,Barren,Republican,Donald Trump,0.36700000000000005,16.8,90.8,79.2,51.5,38873,86.5
17,17,Kentucky,KY,Barren,Republican,Ted Cruz,0.34600000000000003,16.8,90.8,79.2,51.5,38873,86.5
18,18,Kentucky,KY,Barren,Republican,Marco Rubio,0.141,16.8,90.8,79.2,51.5,38873,86.5
19,19,Kentucky,KY,Barren,Republican,John Kasich,0.125,16.8,90.8,79.2,51.5,38873,86.5
20,20,Kentucky,KY,Bath,Republican,Donald Trump,0.39799999999999996,16.0,95.7,73.9,50.5,30797,41.6
21,21,Kentucky,KY,Bath,Republican,Ted Cruz,0.365,16.0,95.7,73.9,50.5,30797,41.6
22,22,Kentucky,KY,Bath,Republican,John Kasich,0.13699999999999998,16.0,95.7,73.9,50.5,30797,41.6
23,23,Kentucky,KY,Bath,Republican,Marco Rubio,0.077,16.0,95.7,73.9,50.5,30797,41.6
24,24,Kentucky,KY,Bell,Republican,Donald Trump,0.542,17.3,94.4,68.3,51.3,26228,79.9
25,25,Kentucky,KY,Bell,Republican,Ted Cruz,0.225,17.3,94.4,68.3,51.3,26228,79.9
26,26,Kentucky,KY,Bell,Republican,Marco Rubio,0.11800000000000001,17.3,94.4,68.3,51.3,26228,79.9
27,27,Kentucky,KY,Bell,Republican,John Kasich,0.098,17.3,94.4,68.3,51.3,26228,79.9
28,28,Kentucky,KY,Boone,Republican,Ted Cruz,0.344,11.2,88.5,91.9,50.4,67225,482.3
29,29,Kentucky,KY,Boone,Republican,Donald Trump,0.29600000000000004,11.2,88.5,91.9,50.4,67225,482.3
30,30,Kentucky,KY,Boone,Republican,John Kasich,0.209,11.2,88.5,91.9,50.4,67225,482.3
31,31,Kentucky,KY,Boone,Republican,Marco Rubio,0.134,11.2,88.5,91.9,50.4,67225,482.3
32,32,Kentucky,KY,Bourbon,Republican,Ted Cruz,0.32,17.5,85.0,81.6,51.2,40933,69.0
33,33,Kentucky,KY,Bourbon,Republican,Donald Trump,0.315,17.5,85.0,81.6,51.2,40933,69.0
34,34,Kentucky,KY,Bourbon,Republican,John Kasich,0.183,17.5,85.0,81.6,51.2,40933,69.0
35,35,Kentucky,KY,Bourbon,Republican,Marco Rubio,0.161,17.5,85.0,81.6,51.2,40933,69.0
36,36,Kentucky,KY,Boyd,Republican,Donald Trump,0.35,17.9,93.3,87.6,50.3,40379,309.9
37,37,Kentucky,KY,Boyd,Republican,Ted Cruz,0.33799999999999997,17.9,93.3,87.6,50.3,40379,309.9
38,38,Kentucky,KY,Boyd,Republican,John Kasich,0.198,17.9,93.3,87.6,50.3,40379,309.9
39,39,Kentucky,KY,Boyd,Republican,Marco Rubio,0.11,17.9,93.3,87.6,50.3,40379,309.9
40,40,Kentucky,KY,Boyle,Republican,Donald Trump,0.319,17.6,86.3,84.7,50.0,41473,157.8
41,41,Kentucky,KY,Boyle,Republican,Ted Cruz,0.273,17.6,86.3,84.7,50.0,41473,157.8
