,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,Louisiana,LA,Acadia,Democrat,Hillary Clinton,0.537,13.5,77.8,72.1,51.5,37587,94.3
1,1,Louisiana,LA,Acadia,Democrat,Bernie Sanders,0.314,13.5,77.8,72.1,51.5,37587,94.3
2,2,Louisiana,LA,Allen,Democrat,Hillary Clinton,0.551,13.3,70.2,76.6,43.3,38429,33.8
3,3,Louisiana,LA,Allen,Democrat,Bernie Sanders,0.306,13.3,70.2,76.6,43.3,38429,33.8
4,4,Louisiana,LA,Ascension,Democrat,Hillary Clinton,0.711,10.2,69.5,89.0,50.7,69070,369.7
5,5,Louisiana,LA,Ascension,Democrat,Bernie Sanders,0.233,10.2,69.5,89.0,50.7,69070,369.7
6,6,Louisiana,LA,Assumption,Democrat,Hillary Clinton,0.7140000000000001,15.2,66.0,71.3,51.1,46116,69.2
7,7,Louisiana,LA,Assumption,Democrat,Bernie Sanders,0.195,15.2,66.0,71.3,51.1,46116,69.2
8,8,Louisiana,LA,Avoyelles,Democrat,Hillary Clinton,0.64,15.5,65.6,70.2,49.9,33942,50.5
9,9,Louisiana,LA,Avoyelles,Democrat,Bernie Sanders,0.247,15.5,65.6,70.2,49.9,33942,50.5
10,10,Louisiana,LA,Beauregard,Democrat,Hillary Clinton,0.535,14.4,79.4,84.6,48.7,46385,30.8
11,11,Louisiana,LA,Beauregard,Democrat,Bernie Sanders,0.308,14.4,79.4,84.6,48.7,46385,30.8
12,12,Louisiana,LA,Bienville,Democrat,Hillary Clinton,0.769,19.1,54.9,79.9,52.2,31543,17.7
13,13,Louisiana,LA,Bienville,Democrat,Bernie Sanders,0.162,19.1,54.9,79.9,52.2,31543,17.7
14,14,Louisiana,LA,Bossier,Democrat,Hillary Clinton,0.665,12.8,67.9,87.7,50.4,53248,139.3
15,15,Louisiana,LA,Bossier,Democrat,Bernie Sanders,0.27,12.8,67.9,87.7,50.4,53248,139.3
16,16,Louisiana,LA,Caddo,Democrat,Hillary Clinton,0.7979999999999999,14.8,46.4,85.8,52.6,41053,290.2
17,17,Louisiana,LA,Caddo,Democrat,Bernie Sanders,0.168,14.8,46.4,85.8,52.6,41053,290.2
18,18,Louisiana,LA,Calcasieu,Democrat,Hillary Clinton,0.657,13.7,68.6,84.5,51.2,43499,181.2
19,19,Louisiana,LA,Calcasieu,Democrat,Bernie Sanders,0.262,13.7,68.6,84.5,51.2,43499,181.2
20,20,Louisiana,LA,Caldwell,Democrat,Hillary Clinton,0.564,16.5,78.8,74.7,48.8,39385,19.1
21,21,Louisiana,LA,Caldwell,Democrat,Bernie Sanders,0.26899999999999996,16.5,78.8,74.7,48.8,39385,19.1
22,22,Louisiana,LA,Cameron,Democrat,Bernie Sanders,0.401,15.0,90.6,84.0,50.0,64574,5.3
23,23,Louisiana,LA,Cameron,Democrat,Hillary Clinton,0.374,15.0,90.6,84.0,50.0,64574,5.3
24,24,Louisiana,LA,Catahoula,Democrat,Hillary Clinton,0.606,15.7,65.2,69.3,46.9,36165,14.7
25,25,Louisiana,LA,Catahoula,Democrat,Bernie Sanders,0.273,15.7,65.2,69.3,46.9,36165,14.7
26,26,Louisiana,LA,Claiborne,Democrat,Hillary Clinton,0.763,17.5,45.6,75.1,43.4,32996,22.8
27,27,Louisiana,LA,Claiborne,Democrat,Bernie Sanders,0.157,17.5,45.6,75.1,43.4,32996,22.8
28,28,Louisiana,LA,Concordia,Democrat,Hillary Clinton,0.767,15.2,56.9,74.2,49.2,29022,29.9
29,29,Louisiana,LA,Concordia,Democrat,Bernie Sanders,0.138,15.2,56.9,74.2,49.2,29022,29.9
30,30,Louisiana,LA,Evangeline,Democrat,Hillary Clinton,0.631,14.3,67.7,67.8,49.3,31832,51.3
31,31,Louisiana,LA,Evangeline,Democrat,Bernie Sanders,0.23800000000000002,14.3,67.7,67.8,49.3,31832,51.3
32,32,Louisiana,LA,Franklin,Democrat,Hillary Clinton,0.655,16.9,65.5,70.6,51.4,31214,33.2
33,33,Louisiana,LA,Franklin,Democrat,Bernie Sanders,0.22,16.9,65.5,70.6,51.4,31214,33.2
34,34,Louisiana,LA,Grant,Democrat,Hillary Clinton,0.486,13.8,76.6,78.8,43.9,39654,34.7
35,35,Louisiana,LA,Grant,Democrat,Bernie Sanders,0.327,13.8,76.6,78.8,43.9,39654,34.7
36,36,Louisiana,LA,Iberia,Democrat,Hillary Clinton,0.664,13.3,59.5,76.6,51.0,44262,127.6
37,37,Louisiana,LA,Iberia,Democrat,Bernie Sanders,0.247,13.3,59.5,76.6,51.0,44262,127.6
38,38,Louisiana,LA,Iberville,Democrat,Hillary Clinton,0.696,13.6,47.6,76.6,48.8,45368,54.0
39,39,Louisiana,LA,Iberville,Democrat,Bernie Sanders,0.196,13.6,47.6,76.6,48.8,45368,54.0
40,40,Louisiana,LA,Jackson,Democrat,Hillary Clinton,0.659,18.3,67.7,82.7,49.0,37388,28.6
41,41,Louisiana,LA,Jackson,Democrat,Bernie Sanders,0.213,18.3,67.7,82.7,49.0,37388,28.6
42,42,Louisiana,LA,Jefferson,Democrat,Hillary Clinton,0.677,15.1,54.1,83.8,51.5,48261,1463.1
43,43,Louisiana,LA,Jefferson,Democrat,Hillary Clinton,0.677,15.2,77.9,78.2,51.1,41622,48.5
44,44,Louisiana,LA,Jefferson,Democrat,Bernie Sanders,0.271,15.1,54.1,83.8,51.5,48261,1463.1
45,45,Louisiana,LA,Jefferson,Democrat,Bernie Sanders,0.271,15.2,77.9,78.2,51.1,41622,48.5
46,46,Louisiana,LA,Lafayette,Democrat,Hillary Clinton,0.597,11.3,66.4,85.5,51.1,51462,824.6
47,47,Louisiana,LA,Lafayette,Democrat,Bernie Sanders,0.355,11.3,66.4,85.5,51.1,51462,824.6
48,48,Louisiana,LA,Lafourche,Democrat,Hillary Clinton,0.505,13.7,76.7,73.8,50.7,50572,90.2
49,49,Louisiana,LA,Lafourche,Democrat,Bernie Sanders,0.36,13.7,76.7,73.8,50.7,50572,90.2
50,50,Louisiana,LA,Lincoln,Democrat,Hillary Clinton,0.753,12.3,53.0,85.1,51.3,35769,99.1
51,51,Louisiana,LA,Lincoln,Democrat,Bernie Sanders,0.19399999999999998,12.3,53.0,85.1,51.3,35769,99.1
52,52,Louisiana,LA,Livingston,Democrat,Hillary Clinton,0.45399999999999996,11.6,88.3,84.5,50.6,56811,197.5
53,53,Louisiana,LA,Livingston,Democrat,Bernie Sanders,0.387,11.6,88.3,84.5,50.6,56811,197.5
54,54,Louisiana,LA,Madison,Democrat,Hillary Clinton,0.823,12.9,35.0,74.5,50.4,25498,19.4
55,55,Louisiana,LA,Madison,Democrat,Bernie Sanders,0.11199999999999999,12.9,35.0,74.5,50.4,25498,19.4
56,56,Louisiana,LA,Morehouse,Democrat,Hillary Clinton,0.7879999999999999,16.9,49.6,76.9,51.8,28585,35.2
57,57,Louisiana,LA,Morehouse,Democrat,Bernie Sanders,0.155,16.9,49.6,76.9,51.8,28585,35.2
58,58,Louisiana,LA,Natchitoches,Democrat,Hillary Clinton,0.6809999999999999,15.3,53.3,81.5,52.3,33953,31.6
59,59,Louisiana,LA,Natchitoches,Democrat,Bernie Sanders,0.226,15.3,53.3,81.5,52.3,33953,31.6
60,60,Louisiana,LA,Orleans,Democrat,Hillary Clinton,0.747,12.1,31.2,84.5,52.2,37146,2029.4
61,61,Louisiana,LA,Orleans,Democrat,Bernie Sanders,0.24100000000000002,12.1,31.2,84.5,52.2,37146,2029.4
62,62,Louisiana,LA,Ouachita,Democrat,Hillary Clinton,0.7859999999999999,13.3,58.5,84.7,52.1,38955,251.8
