,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,Massachusetts,MA,Barnstable,Democrat,Bernie Sanders,0.516,27.8,91.4,94.5,52.4,60526,548.3
1,1,Massachusetts,MA,Barnstable,Democrat,Hillary Clinton,0.474,27.8,91.4,94.5,52.4,60526,548.3
2,2,Massachusetts,MA,Barnstable,Democrat, No Preference,0.005,27.8,91.4,94.5,52.4,60526,548.3
3,3,Massachusetts,MA,Essex,Democrat,Bernie Sanders,0.546,15.6,73.3,89.0,51.8,67311,1508.8
4,4,Massachusetts,MA,Essex,Democrat,Hillary Clinton,0.45,15.6,73.3,89.0,51.8,67311,1508.8
5,5,Massachusetts,MA,Essex,Democrat, No Preference,0.001,15.6,73.3,89.0,51.8,67311,1508.8
6,6,Massachusetts,MA,Franklin,Democrat,Bernie Sanders,0.499,18.2,91.5,92.0,51.2,53663,102.1
7,7,Massachusetts,MA,Franklin,Democrat,Hillary Clinton,0.489,18.2,91.5,92.0,51.2,53663,102.1
8,8,Massachusetts,MA,Franklin,Democrat, No Preference,0.006999999999999999,18.2,91.5,92.0,51.2,53663,102.1
9,9,Massachusetts,MA,Hampden,Democrat,Bernie Sanders,0.527,15.3,65.0,83.7,51.7,49094,751.0
10,10,Massachusetts,MA,Hampden,Democrat,Hillary Clinton,0.44799999999999995,15.3,65.0,83.7,51.7,49094,751.0
11,11,Massachusetts,MA,Hampden,Democrat, No Preference,0.021,15.3,65.0,83.7,51.7,49094,751.0
12,12,Massachusetts,MA,Nantucket,Democrat,Bernie Sanders,0.514,13.4,76.7,94.0,48.9,85478,226.2
13,13,Massachusetts,MA,Nantucket,Democrat,Hillary Clinton,0.478,13.4,76.7,94.0,48.9,85478,226.2
14,14,Massachusetts,MA,Nantucket,Democrat, No Preference,0.005,13.4,76.7,94.0,48.9,85478,226.2
15,15,Massachusetts,MA,Norfolk,Democrat,Bernie Sanders,0.5529999999999999,15.7,77.8,93.7,52.1,84916,1693.6
16,16,Massachusetts,MA,Norfolk,Democrat,Hillary Clinton,0.439,15.7,77.8,93.7,52.1,84916,1693.6
17,17,Massachusetts,MA,Norfolk,Democrat, No Preference,0.003,15.7,77.8,93.7,52.1,84916,1693.6
18,18,Massachusetts,MA,Plymouth,Democrat,Bernie Sanders,0.529,16.2,83.7,92.1,51.4,75092,750.9
19,19,Massachusetts,MA,Plymouth,Democrat,Hillary Clinton,0.461,16.2,83.7,92.1,51.4,75092,750.9
20,20,Massachusetts,MA,Plymouth,Democrat, No Preference,0.006999999999999999,16.2,83.7,92.1,51.4,75092,750.9
21,21,Massachusetts,MA,Worcester,Democrat,Hillary Clinton,0.504,14.1,78.8,89.4,50.7,65223,528.6
