,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,Nebraska,NE,Adams,Democrat,Bernie Sanders,0.616,16.5,87.4,90.7,49.9,49440,55.7
1,1,Nebraska,NE,Adams,Democrat,Hillary Clinton,0.384,16.5,87.4,90.7,49.9,49440,55.7
2,2,Nebraska,NE,Antelope,Democrat,Hillary Clinton,0.54,22.4,95.7,90.8,50.5,43518,7.8
3,3,Nebraska,NE,Antelope,Democrat,Bernie Sanders,0.46,22.4,95.7,90.8,50.5,43518,7.8
4,4,Nebraska,NE,Arthur,Democrat,Bernie Sanders,0.75,21.2,93.2,94.5,51.9,40568,0.6
5,5,Nebraska,NE,Arthur,Democrat,Hillary Clinton,0.25,21.2,93.2,94.5,51.9,40568,0.6
6,6,Nebraska,NE,Banner,Democrat,Hillary Clinton,0.5710000000000001,29.6,92.4,91.3,49.5,36875,0.9
7,7,Nebraska,NE,Banner,Democrat,Bernie Sanders,0.429,29.6,92.4,91.3,49.5,36875,0.9
8,8,Nebraska,NE,Blaine,Democrat,Bernie Sanders,0.556,21.8,98.6,99.0,48.0,42917,0.7
9,9,Nebraska,NE,Blaine,Democrat,Hillary Clinton,0.444,21.8,98.6,99.0,48.0,42917,0.7
10,10,Nebraska,NE,Boone,Democrat,Hillary Clinton,0.614,21.6,96.9,93.1,49.8,45246,8.0
11,11,Nebraska,NE,Boone,Democrat,Bernie Sanders,0.386,21.6,96.9,93.1,49.8,45246,8.0
12,12,Nebraska,NE,Boyd,Democrat,Hillary Clinton,0.565,28.7,95.7,91.6,51.1,41279,3.9
13,13,Nebraska,NE,Boyd,Democrat,Bernie Sanders,0.435,28.7,95.7,91.6,51.1,41279,3.9
14,14,Nebraska,NE,Brown,Democrat,Bernie Sanders,0.5379999999999999,24.3,96.9,91.2,50.8,33647,2.6
15,15,Nebraska,NE,Brown,Democrat,Hillary Clinton,0.462,24.3,96.9,91.2,50.8,33647,2.6
16,16,Nebraska,NE,Buffalo,Democrat,Bernie Sanders,0.6920000000000001,12.9,87.5,92.3,50.3,50963,47.6
17,17,Nebraska,NE,Buffalo,Democrat,Hillary Clinton,0.308,12.9,87.5,92.3,50.3,50963,47.6
18,18,Nebraska,NE,Burt,Democrat,Hillary Clinton,0.563,23.9,93.8,91.9,50.5,46817,14.0
19,19,Nebraska,NE,Burt,Democrat,Bernie Sanders,0.43799999999999994,23.9,93.8,91.9,50.5,46817,14.0
20,20,Nebraska,NE,Butler,Democrat,Bernie Sanders,0.528,20.6,95.4,91.0,49.2,50247,14.4
21,21,Nebraska,NE,Butler,Democrat,Hillary Clinton,0.47200000000000003,20.6,95.4,91.0,49.2,50247,14.4
22,22,Nebraska,NE,Cass,Democrat,Bernie Sanders,0.534,16.1,94.3,94.0,49.6,64697,45.3
23,23,Nebraska,NE,Cass,Democrat,Hillary Clinton,0.466,16.1,94.3,94.0,49.6,64697,45.3
24,24,Nebraska,NE,Cedar,Democrat,Bernie Sanders,0.535,21.3,97.2,92.7,49.4,48038,12.0
25,25,Nebraska,NE,Cedar,Democrat,Hillary Clinton,0.465,21.3,97.2,92.7,49.4,48038,12.0
26,26,Nebraska,NE,Chase,Democrat,Hillary Clinton,0.615,20.7,86.3,90.8,51.2,45610,4.4
27,27,Nebraska,NE,Chase,Democrat,Bernie Sanders,0.385,20.7,86.3,90.8,51.2,45610,4.4
28,28,Nebraska,NE,Cherry,Democrat,Hillary Clinton,0.645,21.4,89.1,92.5,50.0,45464,1.0
29,29,Nebraska,NE,Cherry,Democrat,Bernie Sanders,0.355,21.4,89.1,92.5,50.0,45464,1.0
30,30,Nebraska,NE,Cheyenne,Democrat,Bernie Sanders,0.611,16.2,89.9,93.3,50.2,51529,8.4
31,31,Nebraska,NE,Cheyenne,Democrat,Hillary Clinton,0.389,16.2,89.9,93.3,50.2,51529,8.4
32,32,Nebraska,NE,Clay,Democrat,Bernie Sanders,0.745,19.1,89.1,87.3,49.4,46784,11.4
33,33,Nebraska,NE,Clay,Democrat,Hillary Clinton,0.255,19.1,89.1,87.3,49.4,46784,11.4
34,34,Nebraska,NE,Colfax,Democrat,Hillary Clinton,0.6,13.1,53.9,70.4,48.5,51765,25.5
35,35,Nebraska,NE,Colfax,Democrat,Bernie Sanders,0.4,13.1,53.9,70.4,48.5,51765,25.5
36,36,Nebraska,NE,Cuming,Democrat,Hillary Clinton,0.5670000000000001,21.5,88.8,88.7,49.9,47500,16.0
37,37,Nebraska,NE,Cuming,Democrat,Bernie Sanders,0.433,21.5,88.8,88.7,49.9,47500,16.0
38,38,Nebraska,NE,Custer,Democrat,Bernie Sanders,0.649,20.9,95.3,92.6,50.2,44873,4.2
39,39,Nebraska,NE,Custer,Democrat,Hillary Clinton,0.35100000000000003,20.9,95.3,92.6,50.2,44873,4.2
40,40,Nebraska,NE,Dakota,Democrat,Bernie Sanders,0.5660000000000001,12.7,51.8,72.8,50.0,47069,79.5
41,41,Nebraska,NE,Dakota,Democrat,Hillary Clinton,0.434,12.7,51.8,72.8,50.0,47069,79.5
42,42,Nebraska,NE,Dawes,Democrat,Bernie Sanders,0.6859999999999999,17.6,86.1,93.5,50.6,40359,6.6
43,43,Nebraska,NE,Dawes,Democrat,Hillary Clinton,0.314,17.6,86.1,93.5,50.6,40359,6.6
44,44,Nebraska,NE,Dawson,Democrat,Bernie Sanders,0.688,15.0,61.1,75.8,49.2,46078,24.0
45,45,Nebraska,NE,Dawson,Democrat,Hillary Clinton,0.312,15.0,61.1,75.8,49.2,46078,24.0
46,46,Nebraska,NE,Deuel,Democrat,Bernie Sanders,0.6,23.5,92.2,92.6,50.2,44922,4.4
47,47,Nebraska,NE,Deuel,Democrat,Hillary Clinton,0.4,23.5,92.2,92.6,50.2,44922,4.4
48,48,Nebraska,NE,Dixon,Democrat,Bernie Sanders,0.541,19.7,86.2,86.1,49.7,47325,12.6
49,49,Nebraska,NE,Dixon,Democrat,Hillary Clinton,0.45899999999999996,19.7,86.2,86.1,49.7,47325,12.6
50,50,Nebraska,NE,Dodge,Democrat,Hillary Clinton,0.526,19.0,85.7,86.0,50.7,48626,69.4
51,51,Nebraska,NE,Dodge,Democrat,Bernie Sanders,0.474,19.0,85.7,86.0,50.7,48626,69.4
52,52,Nebraska,NE,Douglas,Democrat,Bernie Sanders,0.54,11.5,70.9,89.5,50.7,53325,1574.4
53,53,Nebraska,NE,Douglas,Democrat,Hillary Clinton,0.46,11.5,70.9,89.5,50.7,53325,1574.4
54,54,Nebraska,NE,Dundy,Democrat,Hillary Clinton,0.9329999999999999,23.3,91.0,93.7,49.6,47431,2.2
55,55,Nebraska,NE,Dundy,Democrat,Bernie Sanders,0.067,23.3,91.0,93.7,49.6,47431,2.2
56,56,Nebraska,NE,Fillmore,Democrat,Hillary Clinton,0.5,22.9,94.0,92.5,50.2,48464,10.2
57,57,Nebraska,NE,Fillmore,Democrat,Bernie Sanders,0.5,22.9,94.0,92.5,50.2,48464,10.2
58,58,Nebraska,NE,Franklin,Democrat,Hillary Clinton,0.55,25.7,96.5,91.2,50.0,43011,5.6
59,59,Nebraska,NE,Franklin,Democrat,Bernie Sanders,0.45,25.7,96.5,91.2,50.0,43011,5.6
60,60,Nebraska,NE,Frontier,Democrat,Hillary Clinton,0.643,21.2,96.3,94.7,48.5,50227,2.8
61,61,Nebraska,NE,Frontier,Democrat,Bernie Sanders,0.35700000000000004,21.2,96.3,94.7,48.5,50227,2.8
62,62,Nebraska,NE,Furnas,Democrat,Bernie Sanders,0.52,22.7,94.8,88.9,50.3,39603,6.9
63,63,Nebraska,NE,Furnas,Democrat,Hillary Clinton,0.48,22.7,94.8,88.9,50.3,39603,6.9
64,64,Nebraska,NE,Gage,Democrat,Hillary Clinton,0.5429999999999999,20.4,95.0,90.2,50.5,47654,26.2
65,65,Nebraska,NE,Gage,Democrat,Bernie Sanders,0.457,20.4,95.0,90.2,50.5,47654,26.2
66,66,Nebraska,NE,Garden,Democrat,Bernie Sanders,0.619,27.7,93.0,93.4,48.9,39400,1.2
67,67,Nebraska,NE,Garden,Democrat,Hillary Clinton,0.381,27.7,93.0,93.4,48.9,39400,1.2
68,68,Nebraska,NE,Garfield,Democrat,Hillary Clinton,0.0,26.9,97.7,94.0,50.1,41892,3.6
69,69,Nebraska,NE,Garfield,Democrat,Bernie Sanders,0.0,26.9,97.7,94.0,50.1,41892,3.6
70,70,Nebraska,NE,Gosper,Democrat,Bernie Sanders,0.586,20.9,93.1,94.3,48.0,45893,4.5
71,71,Nebraska,NE,Gosper,Democrat,Hillary Clinton,0.414,20.9,93.1,94.3,48.0,45893,4.5
72,72,Nebraska,NE,Grant,Democrat,Hillary Clinton,0.0,19.7,97.1,93.6,47.0,44167,0.8
73,73,Nebraska,NE,Grant,Democrat,Bernie Sanders,0.0,19.7,97.1,93.6,47.0,44167,0.8
74,74,Nebraska,NE,Greeley,Democrat,Hillary Clinton,0.55,23.7,96.1,92.8,49.3,44950,4.5
75,75,Nebraska,NE,Greeley,Democrat,Bernie Sanders,0.45,23.7,96.1,92.8,49.3,44950,4.5
76,76,Nebraska,NE,Hall,Democrat,Bernie Sanders,0.5529999999999999,14.2,69.4,81.9,49.7,48712,107.3
77,77,Nebraska,NE,Hall,Democrat,Hillary Clinton,0.447,14.2,69.4,81.9,49.7,48712,107.3
78,78,Nebraska,NE,Hamilton,Democrat,Bernie Sanders,0.657,17.8,95.4,93.4,49.7,56065,16.8
79,79,Nebraska,NE,Hamilton,Democrat,Hillary Clinton,0.34299999999999997,17.8,95.4,93.4,49.7,56065,16.8
80,80,Nebraska,NE,Harlan,Democrat,Hillary Clinton,0.52,24.3,96.5,92.1,48.5,45920,6.2
81,81,Nebraska,NE,Harlan,Democrat,Bernie Sanders,0.48,24.3,96.5,92.1,48.5,45920,6.2
82,82,Nebraska,NE,Hayes,Democrat,Hillary Clinton,1.0,24.8,94.9,88.4,48.2,49125,1.4
83,83,Nebraska,NE,Hayes,Democrat,Bernie Sanders,0.0,24.8,94.9,88.4,48.2,49125,1.4
84,84,Nebraska,NE,Hitchcock,Democrat,Hillary Clinton,0.6,23.8,94.8,92.9,49.6,39702,4.1
85,85,Nebraska,NE,Hitchcock,Democrat,Bernie Sanders,0.4,23.8,94.8,92.9,49.6,39702,4.1
86,86,Nebraska,NE,Holt,Democrat,Hillary Clinton,0.556,20.8,94.6,90.1,50.6,44427,4.3
87,87,Nebraska,NE,Holt,Democrat,Bernie Sanders,0.444,20.8,94.6,90.1,50.6,44427,4.3
88,88,Nebraska,NE,Hooker,Democrat,Bernie Sanders,0.5710000000000001,29.0,95.7,95.1,51.6,39327,1.0
89,89,Nebraska,NE,Hooker,Democrat,Hillary Clinton,0.429,29.0,95.7,95.1,51.6,39327,1.0
90,90,Nebraska,NE,Howard,Democrat,Hillary Clinton,0.589,20.2,95.8,92.4,49.2,49088,11.0
