,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,New Hampshire,NH,Belknap,Democrat,Bernie Sanders,0.6318565400843882,19.9,95.0,90.6,50.8,58654,150.1
1,1,New Hampshire,NH,Belknap,Democrat,Hillary Clinton,0.3681434599156118,19.9,95.0,90.6,50.8,58654,150.1
2,2,New Hampshire,NH,Carroll,Democrat,Bernie Sanders,0.6364659538548115,24.5,96.1,91.9,50.4,50866,51.4
3,3,New Hampshire,NH,Carroll,Democrat,Hillary Clinton,0.3635340461451885,24.5,96.1,91.9,50.4,50866,51.4
4,4,New Hampshire,NH,Cheshire,Democrat,Bernie Sanders,0.7070930430345297,17.3,94.5,91.4,51.1,55155,109.1
5,5,New Hampshire,NH,Cheshire,Democrat,Hillary Clinton,0.2929069569654703,17.3,94.5,91.4,51.1,55155,109.1
6,6,New Hampshire,NH,Coos,Democrat,Bernie Sanders,0.643716814159292,21.8,95.4,85.5,49.0,41985,18.4
7,7,New Hampshire,NH,Coos,Democrat,Hillary Clinton,0.35628318584070795,21.8,95.4,85.5,49.0,41985,18.4
8,8,New Hampshire,NH,Grafton,Democrat,Bernie Sanders,0.6733094068757084,18.0,91.2,91.6,50.7,54912,52.2
9,9,New Hampshire,NH,Grafton,Democrat,Hillary Clinton,0.32669059312429166,18.0,91.2,91.6,50.7,54912,52.2
10,10,New Hampshire,NH,Hillsborough,Democrat,Bernie Sanders,0.5790096636452169,13.9,86.4,90.8,50.4,69829,457.4
11,11,New Hampshire,NH,Hillsborough,Democrat,Hillary Clinton,0.4209903363547831,13.9,86.4,90.8,50.4,69829,457.4
12,12,New Hampshire,NH,Merrimack,Democrat,Bernie Sanders,0.5968631335644708,16.1,93.4,92.1,50.7,65353,156.8
13,13,New Hampshire,NH,Merrimack,Democrat,Hillary Clinton,0.40313686643552915,16.1,93.4,92.1,50.7,65353,156.8
14,14,New Hampshire,NH,Rockingham,Democrat,Bernie Sanders,0.5765271105010296,15.2,93.3,94.5,50.5,77348,425.0
15,15,New Hampshire,NH,Rockingham,Democrat,Hillary Clinton,0.4234728894989705,15.2,93.3,94.5,50.5,77348,425.0
16,16,New Hampshire,NH,Strafford,Democrat,Bernie Sanders,0.6431930592718722,13.8,91.7,91.6,51.3,58825,333.7
17,17,New Hampshire,NH,Strafford,Democrat,Hillary Clinton,0.3568069407281278,13.8,91.7,91.6,51.3,58825,333.7
18,18,New Hampshire,NH,Sullivan,Democrat,Bernie Sanders,0.702844222301559,18.9,95.5,90.1,50.6,54463,81.4
19,19,New Hampshire,NH,Sullivan,Democrat,Hillary Clinton,0.29715577769844104,18.9,95.5,90.1,50.6,54463,81.4
20,0,New Hampshire,NH,Belknap,Republican,Ben Carson,0.025511872833126184,19.9,95.0,90.6,50.8,58654,150.1
21,1,New Hampshire,NH,Belknap,Republican,Carly Fiorina,0.04395891934323281,19.9,95.0,90.6,50.8,58654,150.1
22,2,New Hampshire,NH,Belknap,Republican,Chris Christie,0.06548047360502388,19.9,95.0,90.6,50.8,58654,150.1
23,3,New Hampshire,NH,Belknap,Republican,Donald Trump,0.3601098972983581,19.9,95.0,90.6,50.8,58654,150.1
24,4,New Hampshire,NH,Belknap,Republican,Jeb Bush,0.11369137175377772,19.9,95.0,90.6,50.8,58654,150.1
25,5,New Hampshire,NH,Belknap,Republican,John Kasich,0.1609210440243344,19.9,95.0,90.6,50.8,58654,150.1
26,6,New Hampshire,NH,Belknap,Republican,Marco Rubio,0.098384248053902,19.9,95.0,90.6,50.8,58654,150.1
27,7,New Hampshire,NH,Belknap,Republican,Ted Cruz,0.1319421730882449,19.9,95.0,90.6,50.8,58654,150.1
28,8,New Hampshire,NH,Carroll,Republican,Ben Carson,0.02312520647505781,24.5,96.1,91.9,50.4,50866,51.4
