,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,Nevada,NV,Churchill,Democrat,Hillary Clinton,0.5,18.0,74.3,89.2,49.4,49830,5.0
1,1,Nevada,NV,Churchill,Democrat,Bernie Sanders,0.5,18.0,74.3,89.2,49.4,49830,5.0
2,2,Nevada,NV,Clark,Democrat,Hillary Clinton,0.5489999999999999,13.3,45.3,83.9,50.0,52873,247.3
3,3,Nevada,NV,Clark,Democrat,Bernie Sanders,0.451,13.3,45.3,83.9,50.0,52873,247.3
4,4,Nevada,NV,Douglas,Democrat,Hillary Clinton,0.541,24.5,81.3,92.7,49.8,60100,66.2
5,5,Nevada,NV,Douglas,Democrat,Bernie Sanders,0.45899999999999996,24.5,81.3,92.7,49.8,60100,66.2
6,6,Nevada,NV,Elko,Democrat,Bernie Sanders,0.5579999999999999,9.2,67.1,83.2,47.9,70238,2.8
7,7,Nevada,NV,Elko,Democrat,Hillary Clinton,0.442,9.2,67.1,83.2,47.9,70238,2.8
8,8,Nevada,NV,Esmeralda,Democrat,Bernie Sanders,0.682,26.0,71.2,83.3,43.4,30284,0.2
9,9,Nevada,NV,Esmeralda,Democrat,Hillary Clinton,0.318,26.0,71.2,83.3,43.4,30284,0.2
10,10,Nevada,NV,Eureka,Democrat,Bernie Sanders,0.8640000000000001,15.0,80.2,89.2,46.5,64632,0.5
11,11,Nevada,NV,Eureka,Democrat,Hillary Clinton,0.136,15.0,80.2,89.2,46.5,64632,0.5
12,12,Nevada,NV,Humboldt,Democrat,Bernie Sanders,0.6629999999999999,10.6,66.5,82.9,47.8,59472,1.7
13,13,Nevada,NV,Humboldt,Democrat,Hillary Clinton,0.33799999999999997,10.6,66.5,82.9,47.8,59472,1.7
14,14,Nevada,NV,Lander,Democrat,Bernie Sanders,0.696,13.2,69.5,81.1,49.0,72742,1.1
15,15,Nevada,NV,Lander,Democrat,Hillary Clinton,0.29,13.2,69.5,81.1,49.0,72742,1.1
16,16,Nevada,NV,Lincoln,Democrat,Hillary Clinton,0.603,19.8,85.0,82.7,46.0,40143,0.5
17,17,Nevada,NV,Lincoln,Democrat,Bernie Sanders,0.397,19.8,85.0,82.7,46.0,40143,0.5
18,18,Nevada,NV,Lyon,Democrat,Bernie Sanders,0.524,19.7,76.3,84.3,49.4,46137,26.0
19,19,Nevada,NV,Lyon,Democrat,Hillary Clinton,0.47600000000000003,19.7,76.3,84.3,49.4,46137,26.0
20,20,Nevada,NV,Mineral,Democrat,Hillary Clinton,0.534,25.1,65.1,88.1,51.3,35017,1.3
21,21,Nevada,NV,Mineral,Democrat,Bernie Sanders,0.466,25.1,65.1,88.1,51.3,35017,1.3
22,22,Nevada,NV,Nye,Democrat,Hillary Clinton,0.588,27.9,77.5,83.3,49.5,39876,2.4
23,23,Nevada,NV,Nye,Democrat,Bernie Sanders,0.406,27.9,77.5,83.3,49.5,39876,2.4
24,24,Nevada,NV,Pershing,Democrat,Bernie Sanders,0.493,13.8,66.5,78.9,36.7,52101,1.1
25,25,Nevada,NV,Pershing,Democrat,Hillary Clinton,0.478,13.8,66.5,78.9,36.7,52101,1.1
26,26,Nevada,NV,Storey,Democrat,Hillary Clinton,0.5,27.8,84.6,93.9,48.0,61573,15.3
27,27,Nevada,NV,Storey,Democrat,Bernie Sanders,0.5,27.8,84.6,93.9,48.0,61573,15.3
28,28,Nevada,NV,Washoe,Democrat,Bernie Sanders,0.54,14.6,64.2,86.9,49.7,53040,66.9
29,29,Nevada,NV,Washoe,Democrat,Hillary Clinton,0.45899999999999996,14.6,64.2,86.9,49.7,53040,66.9
30,0,Nevada,NV,Churchill,Republican,Donald Trump,0.39899999999999997,18.0,74.3,89.2,49.4,49830,5.0
31,1,Nevada,NV,Churchill,Republican,Marco Rubio,0.254,18.0,74.3,89.2,49.4,49830,5.0
32,2,Nevada,NV,Churchill,Republican,Ted Cruz,0.231,18.0,74.3,89.2,49.4,49830,5.0
33,3,Nevada,NV,Churchill,Republican,Ben Carson,0.08,18.0,74.3,89.2,49.4,49830,5.0
34,4,Nevada,NV,Churchill,Republican,John Kasich,0.032,18.0,74.3,89.2,49.4,49830,5.0
35,5,Nevada,NV,Clark,Republican,Donald Trump,0.489,13.3,45.3,83.9,50.0,52873,247.3
36,6,Nevada,NV,Clark,Republican,Marco Rubio,0.24600000000000002,13.3,45.3,83.9,50.0,52873,247.3
