,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,Tennessee,TN,Anderson,Democrat,Hillary Clinton,0.547,18.9,89.9,83.8,51.5,43620,222.8
1,1,Tennessee,TN,Anderson,Democrat,Bernie Sanders,0.434,18.9,89.9,83.8,51.5,43620,222.8
2,2,Tennessee,TN,Bedford,Democrat,Hillary Clinton,0.6779999999999999,14.4,77.6,77.5,50.9,40759,95.1
3,3,Tennessee,TN,Bedford,Democrat,Bernie Sanders,0.293,14.4,77.6,77.5,50.9,40759,95.1
4,4,Tennessee,TN,Benton,Democrat,Hillary Clinton,0.635,22.5,93.0,78.5,50.5,33033,41.8
5,5,Tennessee,TN,Benton,Democrat,Bernie Sanders,0.325,22.5,93.0,78.5,50.5,33033,41.8
6,6,Tennessee,TN,Bledsoe,Democrat,Hillary Clinton,0.607,18.2,90.1,75.6,42.7,33443,31.7
7,7,Tennessee,TN,Bledsoe,Democrat,Bernie Sanders,0.32799999999999996,18.2,90.1,75.6,42.7,33443,31.7
8,8,Tennessee,TN,Blount,Democrat,Hillary Clinton,0.531,18.4,91.5,86.7,51.5,45991,220.2
9,9,Tennessee,TN,Blount,Democrat,Bernie Sanders,0.45799999999999996,18.4,91.5,86.7,51.5,45991,220.2
10,10,Tennessee,TN,Bradley,Democrat,Hillary Clinton,0.552,15.8,87.1,82.4,51.3,41083,301.0
11,11,Tennessee,TN,Bradley,Democrat,Bernie Sanders,0.43700000000000006,15.8,87.1,82.4,51.3,41083,301.0
12,12,Tennessee,TN,Campbell,Democrat,Hillary Clinton,0.667,19.3,96.6,70.4,51.3,31943,84.8
13,13,Tennessee,TN,Campbell,Democrat,Bernie Sanders,0.307,19.3,96.6,70.4,51.3,31943,84.8
14,14,Tennessee,TN,Cannon,Democrat,Hillary Clinton,0.645,18.1,94.5,76.4,50.2,40689,52.0
15,15,Tennessee,TN,Cannon,Democrat,Bernie Sanders,0.32,18.1,94.5,76.4,50.2,40689,52.0
16,16,Tennessee,TN,Carroll,Democrat,Hillary Clinton,0.6759999999999999,19.7,85.0,78.6,51.4,35049,47.6
17,17,Tennessee,TN,Carroll,Democrat,Bernie Sanders,0.28800000000000003,19.7,85.0,78.6,51.4,35049,47.6
18,18,Tennessee,TN,Carter,Democrat,Bernie Sanders,0.51,19.7,95.1,79.8,51.0,31842,168.3
19,19,Tennessee,TN,Carter,Democrat,Hillary Clinton,0.47600000000000003,19.7,95.1,79.8,51.0,31842,168.3
20,20,Tennessee,TN,Cheatham,Democrat,Hillary Clinton,0.562,13.2,93.3,83.2,50.2,52446,129.3
21,21,Tennessee,TN,Cheatham,Democrat,Bernie Sanders,0.42200000000000004,13.2,93.3,83.2,50.2,52446,129.3
22,22,Tennessee,TN,Chester,Democrat,Hillary Clinton,0.69,16.7,85.6,81.2,52.1,41875,60.0
23,23,Tennessee,TN,Chester,Democrat,Bernie Sanders,0.28800000000000003,16.7,85.6,81.2,52.1,41875,60.0
24,24,Tennessee,TN,Claiborne,Democrat,Hillary Clinton,0.617,18.5,95.7,74.5,51.1,33229,74.1
25,25,Tennessee,TN,Claiborne,Democrat,Bernie Sanders,0.354,18.5,95.7,74.5,51.1,33229,74.1
26,26,Tennessee,TN,Clay,Democrat,Hillary Clinton,0.7090000000000001,23.7,94.9,72.3,51.1,29727,33.2
27,27,Tennessee,TN,Clay,Democrat,Bernie Sanders,0.27,23.7,94.9,72.3,51.1,29727,33.2
28,28,Tennessee,TN,Cocke,Democrat,Hillary Clinton,0.556,19.2,93.6,76.7,51.6,30573,82.1
29,29,Tennessee,TN,Cocke,Democrat,Bernie Sanders,0.433,19.2,93.6,76.7,51.6,30573,82.1
30,30,Tennessee,TN,Coffee,Democrat,Hillary Clinton,0.625,16.9,89.2,82.4,51.2,37618,123.1
31,31,Tennessee,TN,Coffee,Democrat,Bernie Sanders,0.34600000000000003,16.9,89.2,82.4,51.2,37618,123.1
32,32,Tennessee,TN,Crockett,Democrat,Hillary Clinton,0.785,17.4,75.2,76.1,52.1,36066,54.9
33,33,Tennessee,TN,Crockett,Democrat,Bernie Sanders,0.191,17.4,75.2,76.1,52.1,36066,54.9
34,34,Tennessee,TN,Cumberland,Democrat,Hillary Clinton,0.578,28.9,94.9,80.9,51.3,37188,82.3
35,35,Tennessee,TN,Cumberland,Democrat,Bernie Sanders,0.391,28.9,94.9,80.9,51.3,37188,82.3
36,36,Tennessee,TN,Davidson,Democrat,Hillary Clinton,0.653,11.1,56.9,86.4,51.8,47335,1243.3
37,37,Tennessee,TN,Davidson,Democrat,Bernie Sanders,0.33799999999999997,11.1,56.9,86.4,51.8,47335,1243.3
38,38,Tennessee,TN,Decatur,Democrat,Hillary Clinton,0.675,22.7,92.1,78.8,50.9,36258,35.2
39,39,Tennessee,TN,Decatur,Democrat,Bernie Sanders,0.268,22.7,92.1,78.8,50.9,36258,35.2
40,40,Tennessee,TN,Dickson,Democrat,Hillary Clinton,0.6709999999999999,15.1,90.1,84.2,50.8,44318,101.4
41,41,Tennessee,TN,Dickson,Democrat,Bernie Sanders,0.312,15.1,90.1,84.2,50.8,44318,101.4
42,42,Tennessee,TN,Dyer,Democrat,Hillary Clinton,0.715,16.5,80.3,83.6,51.7,38953,74.8
43,43,Tennessee,TN,Dyer,Democrat,Bernie Sanders,0.265,16.5,80.3,83.6,51.7,38953,74.8
44,44,Tennessee,TN,Fayette,Democrat,Hillary Clinton,0.841,18.7,68.4,85.7,50.5,56618,54.5
45,45,Tennessee,TN,Fayette,Democrat,Bernie Sanders,0.152,18.7,68.4,85.7,50.5,56618,54.5
