,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,Texas,TX,Anderson,Democrat,Hillary Clinton,0.7559999999999999,13.8,59.9,79.0,39.0,40653,55.0
1,1,Texas,TX,Anderson,Democrat,Bernie Sanders,0.22699999999999998,13.8,59.9,79.0,39.0,40653,55.0
2,2,Texas,TX,Andrews,Democrat,Hillary Clinton,0.6609999999999999,9.9,41.6,73.6,48.9,57825,9.9
3,3,Texas,TX,Andrews,Democrat,Bernie Sanders,0.33,9.9,41.6,73.6,48.9,57825,9.9
4,4,Texas,TX,Angelina,Democrat,Hillary Clinton,0.737,15.0,61.5,78.2,51.1,41354,108.8
5,5,Texas,TX,Angelina,Democrat,Bernie Sanders,0.235,15.0,61.5,78.2,51.1,41354,108.8
6,6,Texas,TX,Aransas,Democrat,Hillary Clinton,0.63,26.6,67.9,86.0,50.5,42476,91.9
7,7,Texas,TX,Aransas,Democrat,Bernie Sanders,0.35100000000000003,26.6,67.9,86.0,50.5,42476,91.9
8,8,Texas,TX,Archer,Democrat,Hillary Clinton,0.589,18.1,88.5,86.5,49.9,56452,10.0
9,9,Texas,TX,Archer,Democrat,Bernie Sanders,0.381,18.1,88.5,86.5,49.9,56452,10.0
10,10,Texas,TX,Armstrong,Democrat,Bernie Sanders,0.8,21.4,87.8,88.8,50.7,61635,2.1
11,11,Texas,TX,Armstrong,Democrat,Hillary Clinton,0.2,21.4,87.8,88.8,50.7,61635,2.1
12,12,Texas,TX,Atascosa,Democrat,Hillary Clinton,0.7170000000000001,13.9,35.1,73.6,50.3,47543,36.8
13,13,Texas,TX,Atascosa,Democrat,Bernie Sanders,0.253,13.9,35.1,73.6,50.3,47543,36.8
14,14,Texas,TX,Austin,Democrat,Hillary Clinton,0.7340000000000001,17.6,63.3,85.1,50.4,53265,44.0
15,15,Texas,TX,Austin,Democrat,Bernie Sanders,0.24600000000000002,17.6,63.3,85.1,50.4,53265,44.0
16,16,Texas,TX,Bailey,Democrat,Hillary Clinton,0.7120000000000001,15.0,36.5,65.4,49.3,46139,8.7
17,17,Texas,TX,Bailey,Democrat,Bernie Sanders,0.24600000000000002,15.0,36.5,65.4,49.3,46139,8.7
18,18,Texas,TX,Bandera,Democrat,Hillary Clinton,0.555,24.6,79.1,86.6,50.5,49215,25.9
19,19,Texas,TX,Bandera,Democrat,Bernie Sanders,0.43,24.6,79.1,86.6,50.5,49215,25.9
20,20,Texas,TX,Bastrop,Democrat,Hillary Clinton,0.591,13.7,55.0,80.4,49.1,51750,83.5
21,21,Texas,TX,Bastrop,Democrat,Bernie Sanders,0.397,13.7,55.0,80.4,49.1,51750,83.5
22,22,Texas,TX,Baylor,Democrat,Hillary Clinton,0.613,25.1,82.9,83.7,51.9,33445,4.3
23,23,Texas,TX,Baylor,Democrat,Bernie Sanders,0.32,25.1,82.9,83.7,51.9,33445,4.3
24,24,Texas,TX,Bee,Democrat,Hillary Clinton,0.7509999999999999,11.4,32.7,70.8,40.0,43690,36.2
25,25,Texas,TX,Bee,Democrat,Bernie Sanders,0.212,11.4,32.7,70.8,40.0,43690,36.2
26,26,Texas,TX,Bell,Democrat,Hillary Clinton,0.6990000000000001,9.9,48.2,89.5,50.0,50060,295.2
27,27,Texas,TX,Bell,Democrat,Bernie Sanders,0.29,9.9,48.2,89.5,50.0,50060,295.2
28,28,Texas,TX,Bexar,Democrat,Hillary Clinton,0.6679999999999999,11.3,29.2,82.6,50.8,50112,1383.1
29,29,Texas,TX,Bexar,Democrat,Bernie Sanders,0.321,11.3,29.2,82.6,50.8,50112,1383.1
30,30,Texas,TX,Blanco,Democrat,Hillary Clinton,0.547,22.4,78.2,87.0,49.6,49487,14.8
31,31,Texas,TX,Blanco,Democrat,Bernie Sanders,0.45299999999999996,22.4,78.2,87.0,49.6,49487,14.8
32,32,Texas,TX,Borden,Democrat,Hillary Clinton,0.8,20.6,80.8,92.1,46.5,71607,0.7
33,33,Texas,TX,Borden,Democrat,Bernie Sanders,0.2,20.6,80.8,92.1,46.5,71607,0.7
34,34,Texas,TX,Bosque,Democrat,Hillary Clinton,0.626,23.9,79.0,82.0,50.5,44742,18.5
35,35,Texas,TX,Bosque,Democrat,Bernie Sanders,0.353,23.9,79.0,82.0,50.5,44742,18.5
36,36,Texas,TX,Bowie,Democrat,Hillary Clinton,0.7609999999999999,15.5,64.8,86.8,49.5,42346,104.6
37,37,Texas,TX,Bowie,Democrat,Bernie Sanders,0.214,15.5,64.8,86.8,49.5,42346,104.6
38,38,Texas,TX,Brazoria,Democrat,Hillary Clinton,0.696,10.9,49.9,85.3,49.3,67603,230.7
39,39,Texas,TX,Brazoria,Democrat,Bernie Sanders,0.28800000000000003,10.9,49.9,85.3,49.3,67603,230.7
40,40,Texas,TX,Brazos,Democrat,Bernie Sanders,0.494,8.3,57.2,85.0,49.3,38310,332.8
41,41,Texas,TX,Brazos,Democrat,Hillary Clinton,0.491,8.3,57.2,85.0,49.3,38310,332.8
42,42,Texas,TX,Brewster,Democrat,Bernie Sanders,0.48100000000000004,19.4,53.0,84.8,50.1,40477,1.5
43,43,Texas,TX,Brewster,Democrat,Hillary Clinton,0.436,19.4,53.0,84.8,50.1,40477,1.5
44,44,Texas,TX,Briscoe,Democrat,Hillary Clinton,0.5710000000000001,23.9,67.8,75.8,50.5,36250,1.8
