,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,Utah,UT,Beaver,Democrat,Hillary Clinton,0.0,13.7,85.3,90.9,48.7,46660,2.6
1,1,Utah,UT,Beaver,Democrat,Bernie Sanders,0.0,13.7,85.3,90.9,48.7,46660,2.6
2,2,Utah,UT,Cache,Democrat,Bernie Sanders,0.815,8.6,84.2,92.5,50.1,49506,96.7
3,3,Utah,UT,Cache,Democrat,Hillary Clinton,0.177,8.6,84.2,92.5,50.1,49506,96.7
4,4,Utah,UT,Carbon,Democrat,Bernie Sanders,0.615,15.3,83.2,86.0,50.3,44724,14.5
5,5,Utah,UT,Carbon,Democrat,Hillary Clinton,0.335,15.3,83.2,86.0,50.3,44724,14.5
6,6,Utah,UT,Daggett,Democrat,Bernie Sanders,0.867,21.2,93.0,86.0,44.1,46917,1.5
7,7,Utah,UT,Daggett,Democrat,Hillary Clinton,0.067,21.2,93.0,86.0,44.1,46917,1.5
8,8,Utah,UT,Davis,Democrat,Bernie Sanders,0.8240000000000001,9.1,84.7,95.4,49.6,69707,1025.8
9,9,Utah,UT,Davis,Democrat,Hillary Clinton,0.17300000000000001,9.1,84.7,95.4,49.6,69707,1025.8
10,10,Utah,UT,Duchesne,Democrat,Bernie Sanders,0.69,10.9,85.2,86.4,48.9,57683,5.7
11,11,Utah,UT,Duchesne,Democrat,Hillary Clinton,0.294,10.9,85.2,86.4,48.9,57683,5.7
12,12,Utah,UT,Emery,Democrat,Bernie Sanders,0.653,14.6,91.4,89.8,49.2,52763,2.5
13,13,Utah,UT,Emery,Democrat,Hillary Clinton,0.257,14.6,91.4,89.8,49.2,52763,2.5
14,14,Utah,UT,Garfield,Democrat,Bernie Sanders,0.737,19.0,89.9,92.0,47.8,45357,1.0
15,15,Utah,UT,Garfield,Democrat,Hillary Clinton,0.23199999999999998,19.0,89.9,92.0,47.8,45357,1.0
16,16,Utah,UT,Grand,Democrat,Bernie Sanders,0.7959999999999999,15.9,83.2,91.0,50.1,45888,2.5
17,17,Utah,UT,Grand,Democrat,Hillary Clinton,0.20199999999999999,15.9,83.2,91.0,50.1,45888,2.5
18,18,Utah,UT,Iron,Democrat,Bernie Sanders,0.815,11.4,86.3,90.6,50.0,42369,14.0
19,19,Utah,UT,Iron,Democrat,Hillary Clinton,0.18100000000000002,11.4,86.3,90.6,50.0,42369,14.0
20,20,Utah,UT,Juab,Democrat,Bernie Sanders,0.775,11.7,92.7,89.9,48.9,55247,3.0
21,21,Utah,UT,Juab,Democrat,Hillary Clinton,0.225,11.7,92.7,89.9,48.9,55247,3.0
22,22,Utah,UT,Kane,Democrat,Bernie Sanders,0.782,21.5,91.6,94.4,50.0,48540,1.8
