,id,state,state_abbreviation,county,party,candidate,fraction_votes,AGE775214,RHI825214,EDU635213,SEX255214,INC110213,POP060210
0,0,Vermont,VT,Addison,Democrat,Bernie Sanders,0.863,16.9,93.2,90.7,49.9,57565,48.0
1,1,Vermont,VT,Addison,Democrat,Hillary Clinton,0.13699999999999998,16.9,93.2,90.7,49.9,57565,48.0
2,2,Vermont,VT,Bennington,Democrat,Bernie Sanders,0.838,21.2,94.9,90.1,51.5,50221,55.0
3,3,Vermont,VT,Bennington,Democrat,Hillary Clinton,0.158,21.2,94.9,90.1,51.5,50221,55.0
4,4,Vermont,VT,Chittenden,Democrat,Bernie Sanders,0.904,13.2,89.9,93.9,51.1,63989,291.7
5,5,Vermont,VT,Chittenden,Democrat,Hillary Clinton,0.096,13.2,89.9,93.9,51.1,63989,291.7
6,6,Vermont,VT,Essex,Democrat,Bernie Sanders,0.866,23.3,96.1,83.3,49.6,35916,9.5
7,7,Vermont,VT,Essex,Democrat,Hillary Clinton,0.131,23.3,96.1,83.3,49.6,35916,9.5
8,8,Vermont,VT,Franklin,Democrat,Bernie Sanders,0.915,13.9,94.3,88.8,50.3,56240,75.3
9,9,Vermont,VT,Franklin,Democrat,Hillary Clinton,0.085,13.9,94.3,88.8,50.3,56240,75.3
10,10,Vermont,VT,Orange,Democrat,Bernie Sanders,0.937,17.6,95.7,91.3,50.3,52480,42.1
11,11,Vermont,VT,Orange,Democrat,Hillary Clinton,0.055999999999999994,17.6,95.7,91.3,50.3,52480,42.1
12,12,Vermont,VT,Rutland,Democrat,Bernie Sanders,0.841,19.4,95.9,89.4,50.9,49271,66.3
13,13,Vermont,VT,Rutland,Democrat,Hillary Clinton,0.156,19.4,95.9,89.4,50.9,49271,66.3
14,14,Vermont,VT,Washington,Democrat,Bernie Sanders,0.82,17.0,94.4,93.5,50.6,57281,86.6
15,15,Vermont,VT,Washington,Democrat,Hillary Clinton,0.175,17.0,94.4,93.5,50.6,57281,86.6
16,16,Vermont,VT,Windham,Democrat,Bernie Sanders,0.88,19.3,93.7,90.8,51.0,50234,56.7
17,17,Vermont,VT,Windham,Democrat,Hillary Clinton,0.12,19.3,93.7,90.8,51.0,50234,56.7
18,18,Vermont,VT,Windsor,Democrat,Bernie Sanders,0.865,20.7,95.0,92.7,51.1,52460,58.5
19,19,Vermont,VT,Windsor,Democrat,Hillary Clinton,0.132,20.7,95.0,92.7,51.1,52460,58.5
20,0,Vermont,VT,Addison,Republican,Donald Trump,0.28800000000000003,16.9,93.2,90.7,49.9,57565,48.0
21,1,Vermont,VT,Addison,Republican,Marco Rubio,0.245,16.9,93.2,90.7,49.9,57565,48.0
22,2,Vermont,VT,Addison,Republican,John Kasich,0.223,16.9,93.2,90.7,49.9,57565,48.0
23,3,Vermont,VT,Addison,Republican,Ted Cruz,0.14400000000000002,16.9,93.2,90.7,49.9,57565,48.0
24,4,Vermont,VT,Addison,Republican,Ben Carson,0.07400000000000001,16.9,93.2,90.7,49.9,57565,48.0
